state,district,total,daily_mean,daily_std,active_days,pincodes,cv,cv_normalized,coverage,volume_score,risk_score,risk_category
Uttar Pradesh,Hapur,7185,16.218961625282166,101.08517264332639,78,16,5.608267143398816,1.0,0.09523809523809523,0.16654304390153446,0.9167037534962063,High Risk
Nagaland,Kohima,1609,6.676348547717843,31.17562851456259,69,9,4.669562754511861,0.8326213133424194,0.05357142857142857,0.03729544295582032,0.9114788267831007,High Risk
West Bengal,Kalimpong,504,3.6,17.288412553878203,61,17,4.802336820521723,0.8562960175986428,0.10119047619047619,0.011682351304992815,0.9107822341013605,High Risk
Sikkim,West Sikkim,492,4.96969696969697,21.069590498744542,53,3,4.239612722308353,0.7559576985020353,0.017857142857142856,0.011404200083445367,0.9049139344506787,High Risk
Tamil Nadu,Thiruvallur,596,2.759259259259259,23.467293566914105,64,44,5.608267143398816,1.0,0.2619047619047619,0.01381484400352325,0.9041888801322764,High Risk
Rajasthan,Tonk,5743,6.32488986784141,32.986201342980955,78,16,5.215300508345239,0.9299308280069867,0.09523809523809523,0.13311853877891613,0.9022068948354371,High Risk
Gujarat,Arvalli,2301,3.6179245283018866,17.85303766298245,74,21,4.934607541789153,0.8798809713616101,0.125,0.053335496731723143,0.8982076909570464,High Risk
Nagaland,Peren,1451,15.602150537634408,67.16626673136793,67,5,4.304936461762383,0.7676054566747035,0.02976190476190476,0.033633118538778914,0.8981553076078458,High Risk
Mizoram,Lunglei,700,3.888888888888889,16.854251619138022,70,10,4.3339504163497775,0.772778882591396,0.05952380952380952,0.01622548792360113,0.8947716291965749,High Risk
Nagaland,Wokha,554,6.595238095238095,26.944887548528918,64,4,4.085506415300414,0.7284792808254935,0.023809523809523808,0.012841314728107182,0.8927820205371572,High Risk
Uttar Pradesh,Etawah,7032,7.4334038054968286,38.58151961097171,78,16,5.190289754263259,0.9254712055527641,0.09523809523809523,0.1629966158268045,0.8916826038620926,High Risk
Nagaland,Phek,1038,5.641304347826087,23.382811641387214,66,5,4.144930001941471,0.7390749933908268,0.02976190476190476,0.02406008066385425,0.8910415568209664,High Risk
Punjab,Kapurthala,3681,5.880191693290735,29.69455207615019,79,24,5.049929258264064,0.9004437786470387,0.14285714285714285,0.08532288720967966,0.8895584563635597,High Risk
Chhattisgarh,Bilaspur,8708,6.708782742681048,41.260740008604074,78,24,5.608267143398816,1.0,0.14285714285714285,0.20184506976959807,0.8894464790691206,High Risk
Uttar Pradesh,Prayagraj,2844,2.8102766798418974,23.828757138966832,78,44,5.608267143398816,1.0,0.2619047619047619,0.06592183950674517,0.8885567814813098,High Risk
Rajasthan,Chittorgarh,5888,4.342182890855457,24.950537447548268,77,34,5.608267143398816,1.0,0.20238095238095238,0.1364795327059478,0.8882228068548823,High Risk
Assam,Kokrajhar,4520,6.225895316804408,31.057298618411156,84,20,4.988406813488163,0.8894738224729084,0.11904761904761904,0.10477029344953873,0.8882180831639896,High Risk
Rajasthan,Sirohi,10425,9.947519083969466,58.465363860140194,79,19,5.608267143398816,1.0,0.1130952380952381,0.24164387371934543,0.887923504550863,High Risk
Delhi,North East Delhi,11862,39.40863787375415,208.78175796384076,79,5,5.297867909890075,0.9446532724686457,0.02976190476190476,0.2749524824996523,0.8877262339474635,High Risk
Uttar Pradesh,Etah,11165,13.516949152542374,101.31707363197832,80,18,5.608267143398816,1.0,0.10714285714285714,0.258796532381438,0.8848610402855686,High Risk
Gujarat,Gir Somnath,5672,7.685636856368563,38.24563663356949,76,18,4.976248207964437,0.8873058434496485,0.10714285714285714,0.13147281071809375,0.8836152019919488,High Risk
Gujarat,Morbi,7950,16.290983606557376,81.72547174338855,76,12,5.016607573682216,0.8945022491638954,0.07142857142857142,0.18427518427518427,0.8827932319248082,High Risk
Arunachal Pradesh,Longding,878,11.864864864864865,46.44021766857663,65,3,3.914095794390285,0.6979153621448566,0.017857142857142856,0.020351397709888277,0.8819149574377332,High Risk
Nagaland,Chumukedima,182,2.6,10.143035020164815,44,5,3.9011673154480055,0.6956101083807777,0.02976190476190476,0.004218626860136294,0.8817812832085645,High Risk
Chhattisgarh,Durg,3913,3.9405840886203425,20.049673556922123,78,29,5.08799535957671,0.9072312765210392,0.17261904761904762,0.09070047749293032,0.879904136867818,High Risk
Meghalaya,North Garo Hills,3053,14.400943396226415,59.75990349269731,66,5,4.149721434802434,0.7399293451430614,0.02976190476190476,0.07076630661536322,0.8773287121487958,High Risk
Punjab,Gurdaspur,5089,3.78364312267658,20.466872917360863,78,36,5.409303217498597,0.9645231011981289,0.21428571428571427,0.11795929720458022,0.877195296257971,High Risk
Maharashtra,Nandurbar,10567,8.501206757843926,46.620705007738465,79,20,5.48401025121784,0.9778439776487409,0.11904761904761904,0.24493532984099023,0.8770981265580955,High Risk
Gujarat,Devbhumi Dwarka,2457,4.302977232924693,19.444684699175717,73,19,4.518890908925249,0.8057552882879675,0.1130952380952381,0.05695146261183997,0.8753455787839033,High Risk
Gujarat,Mahisagar,2506,4.121710526315789,18.318030360235376,72,17,4.444278714693978,0.7924513224954156,0.10119047619047619,0.05808724676649205,0.8745151221767811,High Risk
West Bengal,Alipurduar,3657,6.034653465346534,29.062380109831167,76,25,4.815915325829283,0.858717176391612,0.1488095238095238,0.08476658476658476,0.8730377029737554,High Risk
Rajasthan,Hanumangarh,4832,5.339226519337017,25.296359733620722,76,19,4.7378322762679534,0.8447943286447395,0.1130952380952381,0.11200222520977238,0.8724940141293938,High Risk
Maharashtra,Beed,10107,7.334542815674891,45.37817191549414,82,28,5.608267143398816,1.0,0.16666666666666666,0.23427286634833805,0.8713848067621652,High Risk
Gujarat,Chhotaudepur,4066,7.819230769230769,35.82861709409605,75,18,4.582115319461375,0.8170287189073601,0.10714285714285714,0.09424690556766029,0.870185979947278,High Risk
Rajasthan,Sawai Madhopur,6643,4.898967551622419,25.07493063868255,78,27,5.118411251852105,0.9126546794185272,0.16071428571428573,0.15397988039497473,0.8669851736779921,High Risk
Gujarat,Valsad,7251,5.871255060728745,32.18489596071659,79,36,5.481774446488068,0.9774453153395812,0.21428571428571427,0.16807287562004544,0.8666839976828398,High Risk
Haryana,Rohtak,3347,4.6421636615811375,20.42689125694798,77,17,4.400295367869583,0.7846087312457876,0.10119047619047619,0.0775810115432757,0.8659220858063763,High Risk
Gujarat,Panch Mahals,1399,20.573529411764707,84.32830586135881,39,15,4.098874051874481,0.7308628399948888,0.08928571428571429,0.032427796578739974,0.8648236550245891,High Risk
Maharashtra,Latur,7462,5.614747930775019,28.34908721970033,80,24,5.049040058292915,0.9002852270038284,0.14285714285714285,0.17296370126558805,0.8632107190716635,High Risk
Uttar Pradesh,Firozabad,12052,10.857657657657658,107.81025440900702,82,26,5.608267143398816,1.0,0.15476190476190477,0.2793565435074869,0.8620263702810872,High Risk
Punjab,Hoshiarpur,4086,3.01549815498155,17.462148863714113,80,53,5.608267143398816,1.0,0.31547619047619047,0.09471049093690603,0.8611701860522616,High Risk
Mizoram,Lawngtlai,1616,9.234285714285715,34.307215343576665,74,5,3.7151996813897994,0.6624505549388383,0.02976190476190476,0.03745769783505633,0.8602037182114097,High Risk
Chhattisgarh,Sukma,2152,9.196581196581196,34.26988049718969,73,4,3.7263717640996226,0.6644426288583151,0.023809523809523808,0.049881785730842336,0.8592570510478241,High Risk
Uttarakhand,Nainital,3847,5.212737127371274,23.272021282809124,78,21,4.464453264027329,0.7960486100028583,0.125,0.08917064577441935,0.8581158197686745,High Risk
Maharashtra,Raigad,3380,3.6266094420600856,39.710932677269675,76,58,5.608267143398816,1.0,0.34523809523809523,0.07834592740253117,0.8556628884459072,High Risk
Meghalaya,Eastern West Khasi Hills,818,14.350877192982455,49.3672430536362,55,2,3.4400157140064347,0.6133829980006371,0.011904761904761904,0.018960641602151038,0.854829190152911,High Risk
Maharashtra,Akola,4662,3.9982847341337906,19.00571399440999,73,29,4.753466863466763,0.8475821036916561,0.17261904761904762,0.10806174957118353,0.8538185447540578,High Risk
Gujarat,Sabar Kantha,2432,18.014814814814816,80.42758726835424,58,28,4.464524786689072,0.7960613630796849,0.16666666666666666,0.05637198090028279,0.8533765494744715,High Risk
Rajasthan,Bikaner,13038,8.628722700198544,48.30714859028335,81,27,5.598412449755955,0.9982428273491821,0.16071428571428573,0.3022113022113022,0.8524715989088231,High Risk
Haryana,Faridabad,15781,20.103184713375796,112.50613725911617,81,18,5.596433543400684,0.9978899721258712,0.10714285714285714,0.3657920356033564,0.852023879563048,High Risk
Uttarakhand,Dehradun,9365,6.272605492297388,49.40369656506129,82,40,5.608267143398816,1.0,0.23809523809523808,0.21707384914932085,0.8515445119218703,High Risk
Assam,Dima Hasao,248,8.857142857142858,30.298165554680637,26,5,3.420760627141362,0.6099496581876903,0.02976190476190476,0.005748458578647258,0.8513411761254307,High Risk
Karnataka,Kalaburagi,4734,3.007623888182973,15.449853432407089,76,42,5.136896768611905,0.915950798573899,0.25,0.10973065690046822,0.8501635824307241,High Risk
Gujarat,Dohad,12936,24.7816091954023,127.55588969946322,73,15,5.147199630729731,0.9177878833372297,0.08928571428571429,0.2998470168281489,0.8500216541195857,High Risk
Uttar Pradesh,Pilibhit,13423,23.884341637010674,119.42740306505645,81,9,5.0002384357119665,0.8915834976936634,0.05357142857142857,0.31113532056928284,0.8499636280219973,High Risk
Assam,Goalpara,9714,13.529247910863509,63.8399856968271,80,14,4.718664785909189,0.8413766080068548,0.08333333333333333,0.22516341384265912,0.8477661219829347,High Risk
Maharashtra,Washim,3341,5.092987804878049,20.265690471731624,76,14,3.9791358723304238,0.7095125411445578,0.08333333333333333,0.07744193593250197,0.8459301419541779,High Risk
Telangana,Bhadradri Kothagudem,3131,3.537853107344633,15.272931054236066,78,25,4.317005424145295,0.7697574515911935,0.1488095238095238,0.07257428955542163,0.8455594878569579,High Risk
Uttar Pradesh,Mainpuri,11500,10.070052539404553,51.345476217045366,80,21,5.098829029553548,0.9091630086764145,0.125,0.2665615873163043,0.8444885768418537,High Risk
Punjab,Amritsar,9544,6.233834095362508,58.151370466959285,82,43,5.608267143398816,1.0,0.25595238095238093,0.22122293820407027,0.8440497852054455,High Risk
Maharashtra,Hingoli,8146,14.784029038112523,66.21616528057642,78,14,4.478898486324282,0.7986243115391085,0.08333333333333333,0.18881832089379258,0.8437063461038835,High Risk
Mizoram,Kolasib,273,2.237704918032787,7.608230948133797,60,8,3.400015295503015,0.6062505955168321,0.047619047619047616,0.006327940290204441,0.8436226596771632,High Risk
Meghalaya,South West Garo Hills,4934,29.023529411764706,110.49404669181706,71,5,3.8070506561834008,0.6788283366038423,0.02976190476190476,0.11436651059292569,0.8428632979668004,High Risk
Haryana,Gurgaon,6651,5.372374798061389,26.13517091247286,78,31,4.864733361846549,0.8674218323520057,0.18452380952380953,0.15416531454267304,0.8427647136270667,High Risk
Haryana,Kaithal,2857,4.917383820998279,18.543147931588415,73,11,3.7709376787724427,0.6723890967303522,0.06547619047619048,0.0662231699967549,0.84255256618993,High Risk
Meghalaya,South West Khasi Hills,3437,20.458333333333332,72.92468875175898,76,3,3.5645469043629645,0.6355879299648908,0.017857142857142856,0.07966714570488155,0.8423056317762472,High Risk
Arunachal Pradesh,West Kameng,273,2.2195121951219514,7.407944987675314,64,7,3.3376455438976684,0.5951295575900353,0.041666666666666664,0.006327940290204441,0.8418136297361176,High Risk
Mizoram,Saiha,639,6.144230769230769,19.87358996365066,68,3,3.234512294553472,0.5767400538971541,0.017857142857142856,0.014811552547401604,0.8411655530997835,High Risk
Maharashtra,Buldhana,6981,4.589743589743589,22.50406396046819,77,32,4.9031200807724,0.8742664989743925,0.19047619047619047,0.16181447313522784,0.8407822660338022,High Risk
Assam,Karbi Anglong,7967,8.911633109619688,42.480323078358595,79,25,4.766839316185839,0.8499665216191823,0.1488095238095238,0.18466923183904316,0.8400041796816674,High Risk
Uttar Pradesh,Hathras,6418,7.2274774774774775,31.915510811873382,76,20,4.415857525855962,0.7873835915704597,0.11904761904761904,0.1487645449909601,0.8392882268857061,High Risk
Uttar Pradesh,Chandauli,9404,8.830046948356808,42.39966305478671,83,22,4.801748314903003,0.8561910822231209,0.13095238095238096,0.21797784061935005,0.838440193258954,High Risk
Meghalaya,East Garo Hills,6041,34.32386363636363,133.38049846259344,67,6,3.885940693497177,0.6928950768814758,0.03571428571428571,0.14002596078067775,0.8380054886743131,High Risk
Delhi,Central Delhi,3896,8.202105263157895,31.53374048233832,81,12,3.844591049566402,0.6855220964450061,0.07142857142857142,0.09030642992907144,0.8378408047770307,High Risk
Madhya Pradesh,Sheopur,7143,21.133136094674555,83.93205901673407,76,5,3.9715856009598376,0.7081662658731536,0.02976190476190476,0.1655695146261184,0.8377706720011014,High Risk
Assam,West Karbi Anglong,1872,12.155844155844155,42.2225863216356,71,8,3.473439259365322,0.6193426900952315,0.047619047619047616,0.043391590561401884,0.8370857976982438,High Risk
Bihar,Munger,5916,9.272727272727273,37.492867881783276,78,12,4.043348497055059,0.7209621784536893,0.07142857142857142,0.13712855222289186,0.8361981967919236,High Risk
Punjab,Tarn Taran,2905,2.8480392156862746,12.236845135888437,74,30,4.296585899692325,0.7661164830119765,0.17857142857142858,0.06733577488294469,0.8354400365893084,High Risk
Uttar Pradesh,Kanpur Dehat,7912,6.9040139616055844,32.51788142999176,80,26,4.709996476083235,0.8398309773148225,0.15476190476190477,0.18339437207361736,0.834755863771436,High Risk
Bihar,Kaimur (Bhabua),7622,11.601217656012176,48.64260401483783,83,12,4.192887803430655,0.7476262624839249,0.07142857142857142,0.17667238421955403,0.8336674766035075,High Risk
Delhi,West Delhi,19298,28.889221556886227,157.37081659772392,84,11,5.447388614741402,0.9713140396946363,0.06547619047619048,0.4473135227852209,0.8328491903908897,High Risk
Gujarat,Ahmadabad,6633,9.516499282639884,57.48428146296677,73,59,5.608267143398816,1.0,0.35119047619047616,0.15374808771035187,0.8309589070202277,High Risk
Rajasthan,Karauli,8515,6.10832137733142,28.582102285338507,79,25,4.679207350060115,0.8343410237808935,0.1488095238095238,0.1973714709563766,0.8307245837030665,High Risk
Uttar Pradesh,Fatehpur,12103,8.031187790311877,41.201715546725325,81,27,5.130214436826826,0.914759284044684,0.16071428571428573,0.2805386861990636,0.8297541435559203,High Risk
Chhattisgarh,Bijapur,6616,19.86786786786787,75.6081804194753,79,6,3.805550798017726,0.6785608995992695,0.03571428571428571,0.15335404014649298,0.8289901028157963,High Risk
Jharkhand,Khunti,2583,6.135391923990499,21.387985204222254,78,10,3.4860014599216296,0.6215826334208795,0.05952380952380952,0.05987205043808817,0.828758973232548,High Risk
Uttar Pradesh,Shrawasti,5038,7.508196721311475,29.858664707026257,79,17,3.9768090548659427,0.7090976505188108,0.10119047619047619,0.11677715451300356,0.827734364661016,High Risk
Chhattisgarh,Balrampur,6016,12.993520518358531,48.74926973726669,77,7,3.751813811229135,0.6689791543980192,0.041666666666666664,0.13944647906912058,0.8277254269852372,High Risk
Uttar Pradesh,Budaun,15272,11.139314369073668,60.47703546153436,81,27,5.429152410801704,0.9680623750585886,0.16071428571428573,0.35399378795605213,0.8263736948836903,High Risk
Karnataka,Mysuru,4301,2.567761194029851,15.358072980608767,77,69,5.608267143398816,1.0,0.4107142857142857,0.09969403365629781,0.8263417899031106,High Risk
Bihar,Nalanda,14113,8.486470234515934,46.03803067137907,79,31,5.42487387561138,0.9672994771650101,0.18452380952380953,0.3271290158082611,0.8258327789319417,High Risk
Uttarakhand,Haridwar,5877,5.4976613657623945,22.938144395492007,79,21,4.172345815685036,0.7439634576958545,0.125,0.13622456075286263,0.8257698419676902,High Risk
Meghalaya,East Jaintia Hills,5109,37.84444444444444,134.42707986486585,72,5,3.5520954749964555,0.6333677380503232,0.02976190476190476,0.11842288257382597,0.8257351768787986,High Risk
Delhi,East Delhi,10640,19.06810035842294,82.61799583337225,81,10,4.332785871712567,0.7725712347373559,0.05952380952380952,0.2466274164387372,0.8255783738931199,High Risk
Uttar Pradesh,Banda,10458,14.424827586206897,64.54645371054073,80,15,4.474677657309431,0.7978717031296072,0.08928571428571429,0.2424087895786009,0.8252824592217822,High Risk
Maharashtra,Amravati,6816,3.6684607104413347,18.212705001658964,80,42,4.964672226097764,0.8852417509999336,0.25,0.15798989383895043,0.8249376446982915,High Risk
Tripura,Sepahijala,1699,6.155797101449275,19.827464948182605,70,7,3.2209419221297226,0.5743203452640299,0.041666666666666664,0.039381577117426174,0.8246143143738491,High Risk
Meghalaya,Ri Bhoi,9265,25.952380952380953,107.95681864684992,79,10,4.159804021254768,0.7417271529497388,0.05952380952380952,0.21475592230309212,0.8243443935081476,High Risk
Madhya Pradesh,Datia,5809,10.19122807017544,37.98020380064796,75,9,3.7267543753433183,0.6645108515791507,0.05357142857142857,0.1346483704974271,0.8234342869034745,High Risk
Rajasthan,Balotra,1,1.0,,1,1,,,0.005952380952380952,2.317926846228733e-05,0.822909712886128,High Risk
West Bengal,Hooghiy,1,1.0,,1,1,,,0.005952380952380952,2.317926846228733e-05,0.822909712886128,High Risk
Jammu & Kashmir,Punch,1,1.0,,1,1,,,0.005952380952380952,2.317926846228733e-05,0.822909712886128,High Risk
Tamil Nadu,Tiruvarur,1,1.0,,1,1,,,0.005952380952380952,2.317926846228733e-05,0.822909712886128,High Risk
Andaman & Nicobar Islands,Nicobars,1,1.0,,1,1,,,0.005952380952380952,2.317926846228733e-05,0.822909712886128,High Risk
Rajasthan,Beawar,1,1.0,,1,1,,,0.005952380952380952,2.317926846228733e-05,0.822909712886128,High Risk
Jammu & Kashmir,Badgam,1,1.0,,1,1,,,0.005952380952380952,2.317926846228733e-05,0.822909712886128,High Risk
West Bengal,East Midnapur,1,1.0,,1,1,,,0.005952380952380952,2.317926846228733e-05,0.822909712886128,High Risk
Rajasthan,Salumbar,1,1.0,,1,1,,,0.005952380952380952,2.317926846228733e-05,0.822909712886128,High Risk
Uttar Pradesh,Bagpat,1,1.0,,1,1,,,0.005952380952380952,2.317926846228733e-05,0.822909712886128,High Risk
Orissa,Sundergarh,1,1.0,,1,1,,,0.005952380952380952,2.317926846228733e-05,0.822909712886128,High Risk
West Bengal,Burdwan,2,2.0,,1,1,,,0.005952380952380952,4.635853692457466e-05,0.8229027591055893,High Risk
Madhya Pradesh,Burhanpur,9689,34.358156028368796,138.0124140354931,78,5,4.016874884715559,0.7162417163817887,0.02976190476190476,0.22458393213110195,0.8228927544276288,High Risk
Uttar Pradesh,Saharanpur,18601,15.27175697865353,106.4309276337298,82,23,5.608267143398816,1.0,0.13690476190476192,0.4311575726670066,0.8227360615332313,High Risk
Nagaland,Kiphire,881,11.905405405405405,35.2335335751264,72,3,2.959456849670095,0.5276954135741393,0.017857142857142856,0.020420935515275136,0.8223171140963661,High Risk
Haryana,Mewat,7262,17.49879518072289,65.93053271036449,77,6,3.767718407436142,0.6718150742642345,0.03571428571428571,0.1683278475731306,0.8221369217205428,High Risk
Tamil Nadu,Kallakurichi,1047,1.8051724137931036,7.599311904442363,74,40,4.209742984313821,0.7506316793893955,0.23809523809523808,0.024268694080014835,0.8221071462289506,High Risk
Uttar Pradesh,Kannauj,6522,6.319767441860465,25.592048291146174,79,17,4.0495237406413445,0.7220632750006956,0.10119047619047619,0.15117518891103796,0.8219529229102653,High Risk
Meghalaya,Kamrup,143,143.0,,1,1,,,0.005952380952380952,0.0033146353901070884,0.8219222760496345,High Risk
Gujarat,Patan,8866,9.391949152542374,42.31309069960602,79,23,4.505251254277924,0.8033232260665059,0.13690476190476192,0.20550739418663946,0.8215942442006184,High Risk
Karnataka,Ramanagara,204,204.0,,1,1,,,0.005952380952380952,0.004728570766306615,0.8214980954367748,High Risk
Assam,North Cachar Hills,1043,4.635555555555555,14.35862663105907,75,7,3.097498554159435,0.5523093809476125,0.041666666666666664,0.024175977006165684,0.8214721568964812,High Risk
Andhra Pradesh,Visakhapatanam,226,226.0,,1,1,,,0.005952380952380952,0.005238514672476937,0.8213451122649236,High Risk
Telangana,Ranga Reddy,284,284.0,,1,1,,,0.005952380952380952,0.006582912243289602,0.8209417929936798,High Risk
Tripura,North Tripura,1462,2.5876106194690265,9.211744091637375,74,20,3.559942142117043,0.6347668631133693,0.11904761904761904,0.03388809049186408,0.8203353082754532,High Risk
Jammu And Kashmir,Shopian,412,412.0,,1,1,,,0.005952380952380952,0.00954985860646238,0.8200517090847279,High Risk
Odisha,Nabarangpur,442,442.0,,1,1,,,0.005952380952380952,0.010245236660331,0.8198430956685674,High Risk
West Bengal,24 Paraganas South,490,490.0,,1,1,,,0.005952380952380952,0.011357841546520793,0.8195093142027104,High Risk
Assam,Baksa,3584,5.179190751445087,20.114282041274045,83,24,3.88367276020135,0.6924906857856457,0.14285714285714285,0.08307449816883779,0.8174493905743245,High Risk
Nagaland,Noklak,342,6.218181818181818,17.020348289393368,55,1,2.7371905143761266,0.4880635041784562,0.005952380952380952,0.007927309814102267,0.8163607001848956,High Risk
Assam,Bongaigaon,3103,5.232715008431703,17.92127516657249,82,13,3.4248521346366374,0.6106792075102634,0.07738095238095238,0.07192527003847758,0.8150768082837156,High Risk
Delhi,New Delhi,1628,15.805825242718447,49.222396116598766,60,9,3.1141933660993075,0.5552862027560249,0.05357142857142857,0.03773584905660377,0.8142794162476277,High Risk
Assam,Dhemaji,6803,11.414429530201343,43.508496917771886,82,13,3.811710151843605,0.6796591628717544,0.07738095238095238,0.1576885633489407,0.8134908046670986,High Risk
Gujarat,Gandhinagar,5436,4.686206896551724,21.58778813290961,79,42,4.606665605992485,0.8214062362230263,0.25,0.12600250336099392,0.8121914316697609,High Risk
Uttar Pradesh,Kushi Nagar,1570,1570.0,,1,1,,,0.005952380952380952,0.03639145148579111,0.8119992312209293,High Risk
Tripura,Gomati,673,2.681274900398406,7.86498620266606,66,8,2.933300946313791,0.523031601618054,0.047619047619047616,0.015599647675119373,0.8117144995971164,High Risk
Maharashtra,Sangli,7415,3.62060546875,20.73281550380486,80,66,5.608267143398816,1.0,0.39285714285714285,0.17187427564786056,0.8109377173056418,High Risk
Maharashtra,Chandrapur,4422,3.5376,14.65003361866527,77,33,4.1412351929741265,0.7384161786673353,0.19642857142857142,0.10249872514023457,0.8089460449914969,High Risk
Uttar Pradesh,Gautam Buddha Nagar,18788,15.501650165016502,89.40995219416152,84,29,5.608267143398816,1.0,0.17261904761904762,0.43549209586945437,0.808935704572497,High Risk
Assam,Biswanath,1272,2.6390041493775933,8.461136140368232,76,16,3.2061852355797864,0.5716891070985467,0.09523809523809523,0.029484029484029485,0.8079126453059491,High Risk
Uttar Pradesh,Balrampur,12145,12.865466101694915,56.78235049629699,80,16,4.413547868958778,0.7869717608145189,0.09523809523809523,0.28151221547447963,0.8076531183094043,High Risk
Chhattisgarh,Baloda Bazar,4705,4.747729566094853,17.639227759486367,77,20,3.7152974940809758,0.6624679957433998,0.11904761904761904,0.10905845811506189,0.8074795944090047,High Risk
Madhya Pradesh,Vidisha,10202,13.786486486486487,56.42373353631497,78,13,4.092684063602537,0.7297591143495743,0.07738095238095238,0.23647489685225534,0.8073898876333412,High Risk
Maharashtra,Yavatmal,7470,4.791533033996151,21.28661985858448,76,33,4.442548910245409,0.792142884183841,0.19642857142857142,0.17314913541328636,0.8065552688403586,High Risk
Jammu And Kashmir,Doda,4421,7.319536423841059,25.35215749534259,76,14,3.4636288457785396,0.6175934129413552,0.08333333333333333,0.10247554587177228,0.8062483641012759,High Risk
Uttar Pradesh,Unnao,18960,12.880434782608695,80.85901384509445,83,31,5.608267143398816,1.0,0.18452380952380953,0.4394789300449678,0.8035729876531763,High Risk
